Rank,Youtuber,Subscribers,Video Views,Video Count,Category,Started
103,Dushyant kukreja,41700000,25355477656,1202,Entertainment,2015
104,Real fools shorts official,41600000,18026197031,565,People & Blogs,2021
105,???KIMPRO,41400000,39989883613,3230,People & Blogs,2017
106,Saregama Music,41400000,19723045529,8801,Entertainment,2013
107,Alejo Igoa,41400000,17097789779,1075,Comedy,2014
108,TheDonato,41100000,7567713758,3518,Entertainment,2015
109,Genevieve's Playhouse - Learning Videos for Kids,41100000,30940999892,642,Education,2016
110,Little Baby Bum - Nursery Rhymes & Kids Songs,41000000,40511633246,2668,Education,2011
111,WorkpointOfficial,41000000,38572625814,84798,Entertainment,2012
112,TEDx Talks,40900000,7908072755,217720,Nonprofits & Activism,2009
113,Techno Gamerz,40900000,11885843855,1040,Gaming,2017
114,PowerKids TV,40900000,21689007349,8132,Film & Animation,2014
115,GR6 EXPLODE,40800000,28252318887,3375,Music,2014
116,T-Series Bollywood Classics,40800000,26699949599,2061,Music,2012
117,YouTube,40700000,2876535428,727,News & Politics,1970
118,Shorts Break,40600000,28028920749,624,Comedy,2021
119,XXXTENTACION,40500000,11072517534,135,Music,2015
120,Vlad và Niki,40500000,25658565309,604,,2018
121,???? one31,40500000,28450417853,145242,Entertainment,2013
122,Like Nastya ESP,40400000,20034679150,856,Entertainment,2017
123,elrubiusOMG,40300000,7450255112,702,Gaming,2011
124,MR. INDIAN HACKER,40200000,7059142272,1031,Science & Technology,2012
125,Ultra Bollywood,40100000,16051919680,9399,Trailers,2009
126,La Granja de Zenón,40000000,31299646193,746,Music,2013
127,AboFlah,39900000,5917758614,708,Gaming,2016
128,HUM TV,39600000,33482311946,143512,Entertainment,2011
129,Jingle Toons,39400000,13070438462,254,Film & Animation,2013
130,Daddy Yankee,39000000,24619906597,558,Music,2011
131,Akshay Nagwadiya,38700000,12285133881,913,Entertainment,2017
132,One Direction,38600000,14338673594,157,Music,2010
133,Frost Diamond,38600000,9391300398,3369,Gaming,2014
134,Alfredo Larin,38400000,30664895336,1780,Entertainment,2017
135,LankyBox,38200000,43383319023,11668,Comedy,2016
136,TheEllenShow,38200000,23177250521,16953,Entertainment,2006
137,Bruno Mars,38100000,21239189125,100,Music,2006
138,Jkk Entertainment,37900000,16959569885,236,Comedy,2017
139,Gulshan Kalra,37200000,16562408810,671,Howto & Style,2018
140,Ryan's World,37200000,57768805062,2835,Entertainment,2015
141,Maroon 5,37000000,24103378959,183,Music,2006
142,Ozuna,36800000,24955636109,233,Music,2016
143,BabyBus - Kids Songs and Cartoons,36800000,28837128283,2448,Education,2016
144,Markiplier,36700000,21532398718,5602,Gaming,2012
145,WowKidz,36700000,19640525108,8013,Film & Animation,2015
146,T-Series Apna Punjab,36700000,23738047158,8550,Music,2011
147,KAROL G,36500000,24126232593,161,Music,2013
148,Enaldinho,36400000,15755538542,4330,Comedy,2012
149,Junya.????,36400000,21951036959,8343,Entertainment,2020
150,Heroindori,36300000,13089545100,662,Comedy,2020
151,Rajshri,36300000,16642089302,4412,Music,2006
152,Zee News,36200000,21616119900,176845,News & Politics,2007
153,News,36100000,0,0,,2013
154,Galinha Pintadinha,36000000,32404387400,65,Film & Animation,2006
155,CVS 3D Rhymes & Kids Songs,35900000,21931716421,338,Education,2008
156,Diana and Roma ESP,35700000,14668574240,665,,2016
157,Peppa Pig - Official Channel,35600000,26062874802,6638,Film & Animation,2013
158,GMA  Network,35500000,27497575024,139562,Entertainment,2006
159,LeoNata Family,35500000,37896322114,3359,People & Blogs,2021
160,Zhong,35400000,16935567078,1747,Entertainment,2015
161,Lucas and Marcus,35300000,14434949290,1792,Entertainment,2011
162,Geet MP3,35300000,13760583676,740,Music,2016
163,The Weeknd,35200000,27429571118,172,Music,2011
164,Spider Slack,35100000,19677595208,1251,Comedy,2020
165,? Kids Roma Show,35100000,14132618019,718,People & Blogs,2015
166,Priyal Kukreja,35000000,21113093115,1080,People & Blogs,2021
167,Ch3Thailand,35000000,22871535977,79599,Entertainment,2014
168,Worldwide Records Bhojpuri,34900000,18189377681,7213,Music,2012
169,DisneyMusicVEVO,34900000,32116374240,2352,Music,2010
170,Selena Gomez,34600000,14136172748,193,Film & Animation,2008
171,SSSniperWolf,34500000,25114109543,3590,Gaming,2013
172,Zach King,34500000,13497716163,646,Entertainment,2013
173,tuzelity SHUFFLE,34400000,13974270574,1068,People & Blogs,2015
174,J Balvin,34400000,24243577307,216,Music,2011
175,Juan De Dios Pantoja,34400000,3951213994,391,Entertainment,2014
176,VEGETTA777,34100000,15801197359,7994,Gaming,2008
177,Dangal TV Channel,34100000,23375426719,31764,Entertainment,2017
178,Eros Now Music,34000000,17769870210,9733,Entertainment,2007
179,Desi Music Factory,33900000,10625905566,193,Music,2014
180,Beast Reacts,33900000,6109650398,238,People & Blogs,2016
181,Masha y el Oso,33900000,16622803589,1351,Film & Animation,2016
182,Anaya Kandhal,33800000,28804490214,1390,Entertainment,2016
183,KHANDESHI MOVIES,33800000,11731154139,235,Comedy,2013
184,NoCopyrightSounds,33700000,11150376358,1686,Music,2011
185,Jason Derulo,33600000,24247374606,3223,Music,2008
186,rezendeevil,33500000,13477194903,12181,Gaming,2012
187,mujjuu___14,33500000,18794964268,1086,People & Blogs,2020
188,Round2hell,33400000,3426509357,68,Comedy,2016
189,Mr Bean,33300000,11231538706,3498,Shows,2006
190,Marta and Rustam,33200000,27750131487,1105,Comedy,2021
191,ISSEI / ????,33100000,28354232639,2771,Comedy,2014
192,Aditya Movies,33000000,12730992827,7831,Movies,2012
193,????? ?? ??????,32900000,19248224443,622,,2018
194,Pokémon Asia Official (Hindi),32800000,1696679322,318,People & Blogs,2017
195,unknown boy varun,32800000,13270630673,708,Music,2016
196,DONA ??,32800000,22345190578,174,Entertainment,2018
197,Shemaroo Movies,32600000,8977349981,3404,Entertainment,2011
198,SMTOWN,32500000,29563601046,4369,Music,2006
199,Celine Dept,32400000,17837303631,792,Sports,2023
200,Aditya Music,32300000,30007296856,23753,Music,2008
201,Ian Lucas,32300000,3503851233,466,Entertainment,2014
202,Willie Salim,32100000,5254558575,945,People & Blogs,2014
203,Little Angel: Nursery Rhymes & Kids Songs,32000000,24351375493,1547,Education,2015
204,infobells - Telugu,31900000,17311274930,604,Education,2014
205,Dream,31900000,3119509024,116,Gaming,2014
206,GENIAL,31900000,6984361844,8269,Howto & Style,2017
207,That Little Puff,31900000,26705210916,931,Pets & Animals,2020
208,Topper Guild,31800000,19097996802,998,Comedy,2014
209,Luis Fonsi,31800000,15786019512,300,Entertainment,2014
210,Talking Tom,31800000,16245122588,655,Comedy,2010
211,ImagineDragons,31700000,18710531355,143,Music,2009
212,Goldmines Dishoom,31700000,9805453763,4921,Film & Animation,2016
213,Sagawa /???,31700000,25316833225,8536,Entertainment,2021
214,Brent Rivera,31700000,8595224162,664,Comedy,2009
215,infobells - Tamil,31700000,19800216985,654,Education,2014
216,The Tonight Show Starring Jimmy Fallon,31600000,17669126576,10375,Comedy,2006
217,Tilak,31500000,12654029779,10135,Film & Animation,2020
218,NichLmao,31500000,17169348561,1073,People & Blogs,2018
219,???? ???? ????? | toyoraljanahtv,31500000,29008044977,3342,Entertainment,2008
220,AH,31400000,5201341332,3996,Entertainment,2014
221,JustinBieberVEVO,31400000,27833664479,204,Music,2009
222,Adele,31300000,15596741024,15,Music,2008
223,Karla Bustillos,31200000,8036354148,1145,Entertainment,2019
224,BeatboxJCOP,31200000,13982116924,986,Film & Animation,2011
225,Spinnin' Records,31200000,20784466117,12257,Music,2007
226,MaviGadget,31000000,27964326089,5004,Entertainment,2017
227,Ishaan Ali 11,30900000,17994765414,1310,People & Blogs,2016
228,Indosiar,30900000,6101606698,7732,Music,2013
229,Boram Tube Vlog [???? ????],30700000,13778970272,233,Entertainment,2012
230,Goldmines Bollywood,30700000,10070673770,4762,Film & Animation,2015
231,jacksepticeye,30700000,16787475333,5197,Gaming,2007
232,Tsuriki Show,30600000,38117604163,4043,Entertainment,2019
233,Daniel LaBelle,30600000,17191293740,336,Comedy,2009
234,Crazy XYZ,30600000,8992174741,1361,Entertainment,2017
235,Ultra Records,30600000,17647496152,5074,Music,2006
236,Michael Jackson,30400000,16028438175,17,Music,2005
237,Azhan5star,30400000,12498960147,896,Entertainment,2021
238,ashish chanchlani vines,30400000,4768683812,157,Comedy,2009
239,D Billions,30400000,39040881963,1067,Entertainment,2019
240,Trap Nation,30300000,14463541539,2885,Music,2012
241,Chotanawab,30300000,13926862038,2074,Entertainment,2021
242,Nick Jr.,30200000,24070878821,5496,Film & Animation,2012
243,Shawn Mendes,30200000,13709417105,133,Music,2011
244,Drake,30000000,17891064240,64,Music,2009
245,The Lallantop,30000000,12598490747,56155,News & Politics,2015
246,Maluma,30000000,23147809760,46,Music,2018
247,Kids TV - Nursery Rhymes And Baby Songs,29800000,14713485059,4089,Shows,2013
248,Yoeslan,29600000,26500754560,1004,Entertainment,2020
249,Mr DegrEE,29600000,25890616366,1693,Science & Technology,2017
250,Bounce Patrol - Kids Songs,29500000,22680411003,377,Music,2013
251,JYP Entertainment,29200000,22630855201,2101,Music,2008
252,toycantando,29200000,17703924735,802,Music,2009
253,Popular on YouTube,29100000,0,0,,2013
254,AuronPlay,29100000,4132445357,402,Comedy,2006
255,Ami Rodriguez,29000000,4787077534,626,Entertainment,2009
256,DanTDM,28800000,19853632337,3712,Gaming,2012
257,YOLO,28600000,2158655393,292,Comedy,2015
258,Sandeep Maheshwari,28500000,2438433881,636,People & Blogs,2012
259,Wiz Khalifa,28400000,14271688736,747,Music,2008
260,Zach Choi ASMR,28400000,9521422956,1345,People & Blogs,2014
261,dednahype,28400000,28512901552,3130,Comedy,2020
262,Netflix,28400000,8545522203,7353,Entertainment,2012
263,Renato Garcia YT,28400000,8752544696,4403,Entertainment,2011
264,The Late Late Show with James Corden,28400000,10137027249,5788,Entertainment,2006
265,ABPLIVE,28300000,9543716380,224133,People & Blogs,2017
266,America's Got Talent,28200000,4714079417,2102,Entertainment,2006
267,Ben Azelart,28200000,6686579352,344,Film & Animation,2014
268,Raffy Tulfo in Action,28000000,16344408397,11280,News & Politics,2016
269,Diana and Roma ARA,27900000,12658463010,676,,2019
270,WB Kids,27800000,12673833724,2274,People & Blogs,2015
271,Alan Becker,27800000,6965178285,201,Film & Animation,2006
272,Danny Fitt,27700000,12987249457,2711,People & Blogs,2016
273,Sun TV,27500000,29187582080,92380,People & Blogs,2016
274,ZHC,27400000,3287424015,319,Film & Animation,2013
275,enchufetv,27400000,10707074174,2085,Comedy,2011
276,Diana and Roma HIN,27300000,12543917423,665,,2019
277,Neetu Bisht,27300000,19683025360,2298,Entertainment,2011
278,ToyPuddingTV,27200000,16218069188,2415,Entertainment,2014
279,Pen Movies,27200000,7983228056,1756,Film & Animation,2014
280,shfa show India,27100000,18107468453,558,,2019
281,Sourav Joshi Vlogs,27100000,12922162182,1724,People & Blogs,2019
282,Post Malone,27100000,16471351020,113,Music,2011
283,Beyoncé,27100000,18949611452,254,Music,2005
284,Dan Rhodes,27000000,18832044194,1664,Entertainment,2015
285,Sujal Thakral,26900000,5424622341,616,Comedy,2014
286,Nicki Minaj,26900000,11255152765,72,Music,2013
287,WORLDSTARHIPHOP,26900000,21082436768,7121,Music,2008
288,Filmy Suraj Actor,26800000,12703097229,317,Entertainment,2023
289,Vania Mania Kids,26700000,12955387897,1240,People & Blogs,2015
290,Bobby chourasiya,26700000,13654860134,540,People & Blogs,2019
291,Anuel AA,26700000,17372718538,155,Music,2016
292,Chris Brown,26700000,17376032740,56,Music,2006
293,Bayashi TV,26600000,15640592250,1328,Entertainment,2021
294,Preston,26600000,10008222274,4121,Gaming,2012
295,Smosh,26600000,10813309677,1861,Comedy,2005
296,_vector_,26600000,18636712467,545,Comedy,2019
297,David Guetta,26600000,19489890616,859,Music,2009
298,Rafa & Luiz,26500000,9489593240,3546,Entertainment,2015
299,Goldmines Movies,26500000,6574407444,5795,Film & Animation,2013
300,Like Nastya AE,26500000,13440304618,753,Entertainment,2018
301,Kidibli (Kinder Spielzeug Kanal),26500000,13635954525,1195,Entertainment,2015
302,Marília Mendonça,26500000,19717328070,200,Music,2013
303,LosPolinesios,26400000,7965508190,1074,People & Blogs,2012
304,BB Ki Vines,26400000,4973008729,192,Entertainment,2015
305,Ultra Movie Parlour,26400000,5421154917,1979,Movies,2011
306,Diana and Roma EN,26400000,8721829142,595,People & Blogs,2011
307,Coldplay,26400000,19257939940,430,Music,2010
308,Vlad and Niki IDN,26300000,12377599605,587,,2018
309,1MILLION Dance Studio,26300000,8230254071,7522,Entertainment,2015
310,TRANS7 OFFICIAL,26200000,15317644976,98004,Entertainment,2014
311,Maya and Mary,26200000,7341043877,561,Entertainment,2013
312,News18 India,26200000,12562843598,260736,News & Politics,2007
313,Peppa Pig Español Latino - Canal Oficial,26100000,9196907164,1574,Film & Animation,2014
314,Rans Entertainment,26100000,6821639296,4259,People & Blogs,2015
315,BigSchool,26000000,11455874043,3931,Gaming,2019
316,Vlad and Niki ESP,25900000,10615544155,605,,2018
317,VanossGaming,25900000,16045515860,1921,Gaming,2011
318,FaZe Rug,25900000,8751293350,2317,Gaming,2012
319,jaanvi patel,25900000,11300553288,639,People & Blogs,2018
320,MrBeast en Español,25800000,3009699303,67,Entertainment,2021
321,LIV Crime,25800000,13625068218,15481,People & Blogs,2020
322,Venus Entertainment,25700000,6120725721,1983,Entertainment,2010
323,The geeta gurjar,25500000,19875511851,1700,Entertainment,2021
324,TaylorSwiftVEVO,25500000,28386099648,307,Music,2009
325,netd müzik,25500000,61304856856,25685,Music,2014
326,Caín Guzmán,25500000,13107037686,3683,Entertainment,2016
327,SMOL,25500000,25762589821,5411,People & Blogs,2021
328,Las Ratitas,25400000,9898714808,225,People & Blogs,2015
329,Aja Kitchen,25400000,15498785456,1927,Entertainment,2021
330,toyorbabytv,25400000,18624386304,1300,Music,2012
331,WatchMojo.com,25400000,16879097237,27222,Music,2007
332,IShowSpeed,25300000,2534648632,1406,Gaming,2016
333,Chloe Ting,25300000,3195399344,443,Howto & Style,2011
334,Pawan Sahu,25300000,11234706438,1928,,2017
335,Hamster Kombat,25100000,334389615,126,People & Blogs,2024
336,BabyBus - Canciones Infantiles & Videos para Niños,25100000,14715233413,1505,Education,2018
337,The Royalty Family,25000000,8153839062,779,People & Blogs,2017
338,Village Cooking Channel,25000000,7391196323,237,Howto & Style,2018
339,Chapitosiki,24900000,23456792168,3850,Entertainment,2020
340,Vlad and Niki Arabic,24900000,11785002628,616,,2018
341,RihannaVEVO,24900000,20480917809,118,Music,2009
342,Filaretiki,24900000,25161837765,3468,People & Blogs,2021
343,Goldmines Cineplex,24800000,3213570348,4380,Film & Animation,2015
344,Beast Philanthropy,24800000,811834607,43,People & Blogs,2020
345,Koray Zeynep,24800000,23243247645,3326,People & Blogs,2016
346,1theK (????),24800000,25248708175,20106,Music,2011
347,DUDU e CAROL,24700000,12477465488,3040,Autos & Vehicles,2013
348,Wave Music Bhojpuri,24700000,14360305008,23829,Music,2014
349,Yuya,24700000,2591854738,672,Howto & Style,2009
350,Miss Katy,24700000,15654857124,1091,People & Blogs,2014
351,Enrique Iglesias,24600000,19059785058,525,Music,2007
352,TED,24600000,2725940295,4740,People & Blogs,2006
353,Narendra Modi,24600000,5721879194,26997,News & Politics,2007
354,EminemVEVO,24600000,22117339041,106,Music,2009
355,KatyPerryVEVO,24500000,24642699757,167,Music,2009
356,BEN EAGLE,24500000,12073427908,4426,Entertainment,2021
357,Mister Max,24500000,16094889854,1147,People & Blogs,2014
358,Sidhu Moose Wala,24500000,7567332841,116,Music,2017
359,Valentina Pontes ofc,24500000,8740327902,1959,Film & Animation,2014
360,Amit Bhadana,24400000,2471067530,112,Entertainment,2012
361,Soy Suco,24400000,4281848648,769,Gaming,2017
362,DJ Snake,24400000,9019443750,297,Music,2008
363,ViralHog,24400000,29804582349,46908,People & Blogs,2014
364,Vijay Television,24300000,40789804804,74194,Entertainment,2007
365,Eva Bravo Play,24200000,11225887630,324,Entertainment,2019
366,CuRe ??,24200000,16225356310,478,Comedy,2021
367,Unbox Therapy,24200000,4703492992,2319,Science & Technology,2010
368,invictor,24200000,9484617906,2595,Gaming,2013
369,Like Nastya PRT,24200000,12988202937,743,Entertainment,2019
370,GMM GRAMMY OFFICIAL,24100000,27195199241,17216,Music,2010
371,KSI,24100000,6015064768,1252,Entertainment,2009
372,Netflix India,24100000,9907207411,4639,People & Blogs,2016
373,Lady Gaga,24100000,17265860259,179,People & Blogs,2008
374,Disney Latinoamérica,24100000,22293073309,8310,Entertainment,2007
375,Jake Fellman,24000000,15313277625,441,Entertainment,2012
376,Collins Key,24000000,6815206179,257,Entertainment,2011
377,NickyJamTV,23900000,16745620577,472,Music,2012
378,Troom Troom,23900000,10367409593,2730,Howto & Style,2015
379,Super JoJo - Nursery Rhymes & Kids Songs,23900000,0,0,,2019
380,Ishtar Punjabi,23900000,11944841316,6428,Entertainment,2014
381,SOMOY TV,23900000,16148644480,198970,News & Politics,2015
382,Sony AATH,23900000,17730467073,22086,Shows,2013
383,???? ?????? tarik alhalapi,23900000,13560874288,1154,Entertainment,2019
384,Sesame Street,23900000,23988212754,3732,Entertainment,2006
385,Ninja,23800000,2674530721,2037,Gaming,2011
386,James Charles,23800000,4385121146,584,Entertainment,2015
387,SSundee,23800000,15261004118,3535,Gaming,2009
388,deepesh zo,23800000,9946824528,873,People & Blogs,2021
389,Mariano Razo,23700000,12177702963,811,Entertainment,2021
390,Nick Pro,23600000,9285795217,730,Sports,2010
391,Rotana,23600000,22564386221,8766,Music,2012
392,Dua Lipa,23600000,13183103352,273,Music,2011
393,Susy Mouriz,23600000,10111758211,1673,Entertainment,2017
394,Jelly,23600000,15097835047,6445,Gaming,2014
395,Technical Guruji,23500000,3691957035,5475,Science & Technology,2015
396,Logan Paul,23500000,6007122175,718,Entertainment,2015
397,GMA Public  Affairs,23500000,14794725260,47403,Entertainment,2009
398,Tlnovelas,23500000,17433052398,54516,News & Politics,2013
399,DrossRotzank,23400000,6360006337,1701,Entertainment,2006
400,Jordan Matter,23400000,8158026297,466,Entertainment,2006
401,Sia,23400000,14483395240,268,Music,2007
402,??? Seungbini,23400000,17310272486,476,People & Blogs,2021
403,FGTeeV,23300000,24962673389,1827,Gaming,2013
404,7clouds,23300000,18042920476,2712,Music,2013
405,Taarak Mehta Ka Ooltah Chashmah,23300000,17986253838,10032,Entertainment,2014
406,Justin Flom,23300000,21148246283,943,Entertainment,2006
407,ToRung,23200000,15750785099,287,Entertainment,2017
408,Khan GS Research Centre,23200000,2349240148,379,Education,2019
409,Pragati Verma Shorts,23200000,10023878406,1165,Comedy,2019
410,National Geographic,23200000,6026176322,10477,Science & Technology,2006
411,Minecraft - Topic,23200000,0,0,,2013
412,Wow Kidz Action,23200000,10043437019,3913,Film & Animation,2017
413,mmoshaya,23100000,18230048821,1223,People & Blogs,2010
414,Pink Shirt Girl,23000000,11695707712,1092,Entertainment,2015
415,Infinite,23000000,5696678831,1673,Entertainment,2014
416,RKD Studios,23000000,5763740869,942,Entertainment,2014
417,Panda Shorts,23000000,10608072608,970,Comedy,2020
418,BabyBus - Cerita & Lagu Anak-anak,23000000,13679754844,1185,Education,2019
419,Younes Zarou,23000000,20411844173,3245,Entertainment,2021
420,Happy Monkey,22900000,1695,1,Science & Technology,2016
421,Kritika Channel,22900000,17538679092,4455,People & Blogs,2021
422,Republic Bharat,22900000,12412814922,173674,News & Politics,2019
423,DeGoBooM,22800000,7190931762,5473,Gaming,2014
424,Deddy Corbuzier,22800000,6075071046,1626,Entertainment,2009
425,Goldmines Great Indian Comedy,22800000,6333179004,4119,Film & Animation,2016
426,Paulo Londra,22700000,8725587487,66,Music,2016
427,The Chainsmokers,22700000,15017385756,218,Music,2012
428,Rubén Tuesta oficial,22600000,14002030879,1189,Comedy,2016
429,Dhruv Rathee,22600000,2954579022,625,Entertainment,2013
430,ILYA BORZOV,22500000,14279799168,2637,People & Blogs,2021
431,Kiddiestv Hindi - Nursery Rhymes & Kids Songs,22500000,8101817736,260,Education,2017
432,Charlie Puth,22500000,10915526749,163,Music,2009
433,Busy Fun Ltd,22500000,9434153975,253,,2019
434,Kurzgesagt – In a Nutshell,22500000,2800131013,233,Education,2013
435,????? - Genevieve's Playhouse,22500000,12180061255,120,Education,2018
436,Ajay Sharma,22500000,14219681967,1188,Entertainment,2012
437,ANNA KOVA,22500000,21225650278,3952,People & Blogs,2020
438,Triggered Insaan,22300000,4072118537,345,Comedy,2014
439,Bispo Bruno Leonardo,22300000,5557023219,6286,Nonprofits & Activism,2016
440,Bizarrap,22200000,9241100888,89,Comedy,2017
441,MiawAug,22200000,6872543361,4079,Gaming,2014
442,Tekashi 6ix9ine,22200000,6349928074,61,People & Blogs,2018
443,Tappu Honey Parmar,22200000,9422402979,2208,Music,2022
444,Smile Family,22100000,8879309465,751,People & Blogs,2018
445,Lyrical Lemonade,22100000,11446237288,441,Entertainment,2013
446,El Payaso Plim Plim,22100000,23860605222,1632,Film & Animation,2013
447,LazarBeam,22000000,9427786164,1345,Gaming,2015
448,Ninja Kidz TV,22000000,12252742318,325,Entertainment,2017
449,Dhar Mann Studios,22000000,14831349337,1299,People & Blogs,2018
450,Becky G,21900000,11653165841,90,Music,2011
451,Vsauce,21900000,4210380702,536,Science & Technology,2007
452,Fatos Desconhecidos,21900000,4198701599,7085,Entertainment,2013
453,How Ridiculous,21800000,12580836932,723,Sports,2009
